asset_class_key,asset_class_code,asset_class_label,strategy_code,sub_strategy_code,markets,effective_from,effective_to
1,PUB_EQ,Public Equities,DM,,public,2018-01-01,
2,FIXED_INC,Fixed Income,GOVT,,public,2018-01-01,
3,CASH_MM,Cash & Money Markets,TBILL,,public,2018-01-01,
4,PRIV_EQ,Private Equity,BUYOUT,,private,2018-01-01,
5,PRIV_CREDIT,Private Credit,DIRECT_LENDING,,private,2018-01-01,
6,REAL_ESTATE,Real Estate,CORE,,private,2018-01-01,
7,INFRA,Infrastructure,CORE,,private,2018-01-01,
8,NAT_RES,Natural Resources / Commodities,TIMBERLAND,,both,2018-01-01,
9,HEDGE_FUNDS,Hedge Funds / Active Strategies,MACRO,,public,2018-01-01,
